timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1.46E+12,303,[TEST] Get Quote - 65 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,871,1,1,303
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137230,1,1,0
1.46E+12,313,[TEST] Get Quote - 66 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1546,1,1,312
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137238,1,1,0
1.46E+12,3460,[TEST] Get Quote - 67 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1541,1,1,3460
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137240,1,1,0
1.46E+12,306,[TEST] Get Quote - 68 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1539,1,1,306
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137236,1,1,0
1.46E+12,1275,[TEST] Get Quote - 69 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1525,1,1,1084
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137233,1,1,0
1.46E+12,297,[TEST] Get Quote - 70 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1536,1,1,296
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137241,1,1,0
1.46E+12,315,[TEST] Get Quote - 71 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1548,1,1,315
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137239,1,1,0
1.46E+12,300,[TEST] Get Quote - 72 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1536,1,1,300
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137231,1,1,0
1.46E+12,307,[TEST] Get Quote - 73 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1528,1,1,307
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137233,1,1,0
1.46E+12,837,[TEST] Get Quote - 74 - SemiAnnual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1538,1,1,837
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137243,1,1,0
1.46E+12,305,[TEST] Get Quote - 75 - Quarterly,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1538,1,1,304
1.46E+12,0,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137243,1,1,0
1.46E+12,314,[TEST] Get Quote - 76 - MonthlyPac,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1547,1,1,314
1.46E+12,1,Output Initial Configuration,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,137235,1,1,0
1.46E+12,302,[TEST] Get Quote - 77 - Annual,200,OK,CalcStorm - Lincoln tests 1-1,text,TRUE,1529,1,1,301
